x, y, theta, stamp, 
0.878046989440918, 0.8000113368034363, 1.0199770924230818, 1761316382649575465, 
0.8805740475654602, 0.804053008556366, 1.021045936920561, 1761316382748267884, 
0.8827426433563232, 0.8075764179229736, 1.0215257536533158, 1761316382844361203, 
0.8842198848724365, 0.8100752234458923, 1.0209866965639525, 1761316382936536649, 
0.8871875405311584, 0.814836323261261, 1.0214885680858452, 1761316383055260644, 
0.8889315724372864, 0.817990779876709, 1.0214885680858452, 1761316383144290471, 
0.8907475471496582, 0.8210931420326233, 1.0214885680858452, 1761316383244354425, 
0.892932116985321, 0.8245749473571777, 1.0234782505463191, 1761316383336372128, 
0.8950198292732239, 0.8279942870140076, 1.0242641313035674, 1761316383455374404, 
0.8965696692466736, 0.8304157257080078, 1.0226594465140624, 1761316383544267615, 
0.8987225294113159, 0.8340027928352356, 1.0226594465140624, 1761316383644303760, 
0.9004940390586853, 0.8369953632354736, 1.0226594465140624, 1761316383736993247, 
0.9025196433067322, 0.8404000401496887, 1.022934816218366, 1761316383855469459, 
0.9044535160064697, 0.8433923721313477, 1.0243343523024326, 1761316383944297528, 
0.9060804843902588, 0.8459606766700745, 1.0243343523024326, 1761316384044505470, 
0.9075095653533936, 0.8483351469039917, 1.0228157954784367, 1761316384135601136, 
0.9098204970359802, 0.8520241975784302, 1.0228157954784367, 1761316384255365470, 
0.9113601446151733, 0.8546078205108643, 1.0228157954784367, 1761316384345302264, 
0.9123976826667786, 0.8564627170562744, 1.0228157954784367, 1761316384444319514, 
0.9139536023139954, 0.8586772084236145, 1.0228157954784367, 1761316384535640087, 
0.9159058928489685, 0.8616883754730225, 1.0218637597994547, 1761316384655818019, 
0.9171630144119263, 0.8639910817146301, 1.0205741370869659, 1761316384744305527, 
0.9187559485435486, 0.8665300011634827, 1.0203123046243798, 1761316384844321441, 
0.9203107357025146, 0.8690260052680969, 1.0203123046243798, 1761316384935738704, 
0.922236442565918, 0.871928870677948, 1.0187945155291214, 1761316385055589078, 
0.923565149307251, 0.8742501139640808, 1.0183424256603293, 1761316385144272695, 
0.9249037504196167, 0.8767114281654358, 1.0183424256603293, 1761316385244326425, 
0.9264838695526123, 0.8791663646697998, 1.0195710348569964, 1761316385335937039, 
0.928506076335907, 0.8823202252388, 1.0195710348569964, 1761316385455550230, 
0.9298673272132874, 0.8846896290779114, 1.0195710348569964, 1761316385544322499, 
0.9313914775848389, 0.8873971700668335, 1.0202900297102333, 1761316385644388365, 
0.9326274394989014, 0.8895899653434753, 1.0202900297102333, 1761316385735418912, 
0.9347659349441528, 0.8927802443504333, 1.0213369855328673, 1761316385855384905, 
0.9360818862915039, 0.8948720097541809, 1.0221499025910552, 1761316385945299492, 
0.9376327991485596, 0.8974716663360596, 1.0221499025910552, 1761316386044333009, 
0.939167320728302, 0.8999230861663818, 1.0221499025910552, 1761316386135764591, 
0.9409812092781067, 0.9029042720794678, 1.0215879022859382, 1761316386255450505, 
0.9422626495361328, 0.9051837921142578, 1.0215879022859382, 1761316386344332069, 
0.9440162777900696, 0.9079387784004211, 1.0215879022859382, 1761316386444353175, 
0.9454562067985535, 0.9102920293807983, 1.0202649157277075, 1761316386535841498, 
0.947597086429596, 0.9139357805252075, 1.0193932929041845, 1761316386655399283, 
0.9488280415534973, 0.9160993695259094, 1.0191799439665425, 1761316386744279466, 
