odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
0.6170987486839294, -0.5928950309753418, -0.8027477885913887, 0.0420645721828317, 0.0, 0.7380466154295491, -0.7241689853807609, -0.7440427543468312, 1763138915848934948, 
0.6197603940963745, -0.5955283641815186, -0.804011165168497, 0.04308215050926559, 0.0, 0.7405345768364104, -0.7224747396066459, -0.7483836107769406, 1763138915938659431, 
0.6228201985359192, -0.598369836807251, -0.8053245411376432, 0.040242525523775316, -0.026033176109194756, 0.7476069392029744, -0.728746519514846, -0.7439617688481992, 1763138916038656259, 
0.6254880428314209, -0.6012454032897949, -0.8053245411376432, 0.04135937803240113, 0.0, 0.7536333828129643, -0.7368817456146027, -0.747416785149865, 1763138916130692826, 
0.6286941170692444, -0.6046615839004517, -0.80693747159672, 0.03699817189376504, -0.023099355399608612, 0.7571418310600967, -0.7397595613556847, -0.7490123509721089, 1763138916248745427, 
0.633759617805481, -0.6102625131607056, -0.8083190558848699, 0.03645983654901158, -0.027342934161424637, 0.7603615271467923, -0.7463005447363857, -0.7505696618238462, 1763138916438647776, 
0.6361874341964722, -0.6126798391342163, -0.8094076633860078, 0.03683125934388264, 0.0, 0.7596291222124397, -0.7449252314793593, -0.7514423559227665, 1763138916529506222, 
0.6395745873451233, -0.6163179278373718, -0.810319365859169, 0.04166593830842045, 0.0, 0.7670490453094485, -0.750607490973032, -0.753855491214098, 1763138916649077356, 
0.6421859264373779, -0.6190404295921326, -0.8112506719632592, 0.037555300740860706, -0.01708545908331871, 0.7754930744777744, -0.759836042544887, -0.7523161126509533, 1763138916742688537, 
0.647398829460144, -0.6245411038398743, -0.813291329749107, 0.03870971337222018, -0.012514647096395493, 0.7785150303430123, -0.7573811487031011, -0.7618093352470743, 1763138916943731017, 
0.6498855352401733, -0.6272171139717102, -0.8136791645941663, 0.03564050351117791, -0.001018272596411407, 0.777385442038629, -0.759602856792907, -0.768486877519316, 1763138917044361273, 
0.6526679396629333, -0.6299694180488586, -0.8148064700036105, 0.03821429539139819, -0.004621337633579969, 0.780827111879798, -0.7630076999599368, -0.7571946593274694, 1763138917143730582, 
0.6573019623756409, -0.6349830031394958, -0.8149980800877906, 0.03437145014756071, 0.0, 0.7838998469499965, -0.7634524423179989, -0.7603912785543298, 1763138917329022683, 
0.660311758518219, -0.6380865573883057, -0.8149980800877906, 0.03590765240272245, 0.0, 0.7934801785283803, -0.7740719122836726, -0.7625577919587834, 1763138917450450620, 
0.6651266813278198, -0.6433144211769104, -0.8143315157017413, 0.03665001606540739, 0.0, 0.7949919926808506, -0.7714480604599747, -0.7583805082965639, 1763138917638682064, 
0.6674217581748962, -0.6455685496330261, -0.8143315157017413, 0.0354417303177974, 0.0, 0.8016909013362755, -0.7813996748066495, -0.7591417025641729, 1763138917728915906, 
0.6703416109085083, -0.6488633155822754, -0.8124314038043562, 0.037248887857658404, 0.016041522845625877, 0.7991507349353567, -0.785194053613508, -0.7594246506674329, 1763138917844812144, 
0.6726834774017334, -0.651309609413147, -0.8115851271354733, 0.03819381764118935, 0.017074793577194214, 0.8056559730744194, -0.7788077797955381, -0.7592355964655613, 1763138917938812000, 
0.6774031519889832, -0.6562262177467346, -0.8114493356492893, 0.03216031758302135, 0.0, 0.8078045446753935, -0.7937259803494621, -0.7581531996510632, 1763138918128274259, 
0.6798648834228516, -0.6586232781410217, -0.809708767804063, 0.03214558813415879, 0.015623803250491619, 0.8103104383696471, -0.7944916727649092, -0.7570314374824296, 1763138918244675023, 
0.6821962594985962, -0.6609214544296265, -0.8096140561724724, 0.03498630206308052, 0.0018622850766405463, 0.8151252274629266, -0.7881395147377767, -0.753113016519578, 1763138918339946221, 
0.6870220303535461, -0.6660202145576477, -0.8099453764334815, 0.029587276915995716, 0.0, 0.8203652396401617, -0.7964193052328657, -0.7573697192249906, 1763138918548538069, 
