x, y, th, stamp, 
-3.234100818634033, -6.310939788818359, -0.5559126480378329, 1759349658832612195, 
-3.228144407272339, -6.3144636154174805, -0.5418914136684044, 1759349658880471944, 
-3.2221152782440186, -6.317910671234131, -0.5272551327336155, 1759349658927884669, 
-3.216045379638672, -6.321410179138184, -0.5136109760823538, 1759349658975962806, 
-3.2078819274902344, -6.325551986694336, -0.49567998858799134, 1759349659039779388, 
-3.20186710357666, -6.328821659088135, -0.48150457562144444, 1759349659087936757, 
-3.1953017711639404, -6.331808567047119, -0.46714011775204684, 1759349659136619919, 
-3.188965320587158, -6.335025310516357, -0.45268520837731246, 1759349659184980650, 
-3.18286395072937, -6.337713718414307, -0.4392333409165146, 1759349659232205609, 
-3.176661491394043, -6.340707778930664, -0.42516053966369194, 1759349659280334765, 
-3.1679840087890625, -6.3444318771362305, -0.40666909650328015, 1759349659345283112, 
-3.161879062652588, -6.346938610076904, -0.39270970342261186, 1759349659391752452, 
-3.1554954051971436, -6.349395751953125, -0.37734393418727186, 1759349659439890301, 
-3.149138927459717, -6.351823329925537, -0.36306685335731004, 1759349659488071221, 
-3.142559289932251, -6.354067325592041, -0.3490573740995554, 1759349659536100574, 
-3.135786771774292, -6.356441974639893, -0.3343409579787128, 1759349659585937703, 
-3.129615068435669, -6.358418941497803, -0.3208623401729971, 1759349659631865640, 
-3.123020887374878, -6.360550403594971, -0.3064916681909574, 1759349659679694229, 
-3.114222526550293, -6.3629584312438965, -0.2872067362251971, 1759349659743891094, 
-3.1075499057769775, -6.364645004272461, -0.27354064995962063, 1759349659791764233, 
-3.103177070617676, -6.365644931793213, -0.2641608816273992, 1759349659824292729, 
-3.094315528869629, -6.367880344390869, -0.24437474404089188, 1759349659888392716, 
-3.0881640911102295, -6.36922025680542, -0.2311063117409542, 1759349659936648017, 
-3.0824828147888184, -6.370391368865967, -0.21923116499368098, 1759349659983750595, 
-3.0756726264953613, -6.371710300445557, -0.20526213390392636, 1759349660031963761, 
-3.0687098503112793, -6.373111724853516, -0.1911910115545768, 1759349660080364419, 
-3.062044382095337, -6.374274730682373, -0.17724813995512761, 1759349660128343966, 
-3.052995204925537, -6.375678062438965, -0.1587562886780636, 1759349660192304496, 
-3.0461339950561523, -6.376542568206787, -0.14447414752084167, 1759349660240436361, 
-3.039238452911377, -6.377361297607422, -0.1301886470723579, 1759349660287782294, 
-3.032378911972046, -6.37813663482666, -0.11569094676543913, 1759349660337053987, 
-3.025712728500366, -6.378670692443848, -0.10130582985767692, 1759349660384152352, 
-3.0190296173095703, -6.3792195320129395, -0.08601567847037411, 1759349660431809423, 
-3.0120413303375244, -6.3795928955078125, -0.07179125840533641, 1759349660480097272, 
-3.002842664718628, -6.380037307739258, -0.05282598179982143, 1759349660543919628, 
-2.996044397354126, -6.380185604095459, -0.03884836436725451, 1759349660592600875, 
-2.9892282485961914, -6.380424976348877, -0.02439366950905374, 1759349660640617904, 
-2.982379674911499, -6.3803324699401855, -0.010315424272427884, 1759349660687940634, 
-2.9751744270324707, -6.380199432373047, 0.00495155534799437, 1759349660737668553, 
-2.9686739444732666, -6.379942417144775, 0.019055299593334032, 1759349660784622830, 
-2.961913824081421, -6.379724025726318, 0.03296714694311091, 1759349660831710712, 
-2.9529271125793457, -6.379203796386719, 0.051810916808805396, 1759349660896047268, 
